Hotel Name,Location,Rating,Discount,Price
Sanso Tenzui,Oita Pref. · Amagase Onsen / Hita Onsen · Amagase Onsen,4.82,10%,800
Okuhita Onsen Umehibiki,Oita Pref. · Okuhita / Hita Onsen · Amagase Onsen,4.55,22%,778
Hita Onsen Kizantei Hotel,Oita Pref. · Hita Onsen / Hita Onsen · Amagase Onsen,3.76,25%,925
Ukiha Annex Shinshiyo,Oita Pref. · Amagase Onsen / Hita Onsen · Amagase Onsen,4.41,1%,24
Hatago Kayausagi,Oita Pref. · Hita / Hita Onsen · Amagase Onsen,4.64,10%,360
Hita Onsen Hananoju RIVER TERRACE,Oita Pref. · Hita,4.42,15%,355
Hotel Route-Inn Hita Ekimae,Oita Pref. · 1-min walk from JR Kyudai Line Hita Station,4.25,10%,230
Hakutei Wakanoya,Oita Pref. · Hita-shi Mamedamachi,,10%,200
Smile Hotel Oita Hita,Oita Pref. · Hita,4.10,10%,8
Ryokan & Sauna Yorozuya Hita,Oita Pref. · Hita Onsen · Amagase Onsen / Hita Onsen · Amagase Onsen,,15%,525
Amagase Onsen Seitenkaku,Oita Pref. · Hita,4.55,20%,400
Seoto Yune no Yado Ukiha,Oita Pref. · Amagase Onsen,,1%,21
Hotel Socia,Oita Pref. · Hita,,10%,260
Ryokan Tenryu,Oita Pref. · Hita / Hita Onsen · Amagase Onsen,,10%,200
Tabi no Yado Satsuki,Oita Pref. · Hita-shi,,10%,360
Auberge Licht,Oita Pref. · Hita-shi,,10%,040
Minshuku Hiroshige,Oita Pref. · Hita-shi,,10%,320
Ryokan Hitaya,Oita Pref. · Hita-shi / Hita Onsen · Amagase Onsen,,10%,760
Plaza Hotel Fujinoi,Oita Pref. · Hita,,10%,100
Caffel Hina no Sato,Oita Pref. · Hita / Hita Onsen · Amagase Onsen,4.16,10%,790
